movieId,userId,rating,genres
1343,1,2.0,Thriller
3671,1,3.0,Comedy|Western
1154,1,5.0,Film-Noir
1172,1,4.0,Drama
1405,1,1.0,Adventure|Animation|Comedy|Crime
2105,1,4.0,Action|Adventure|Sci-Fi
2455,1,2.5,Drama|Horror|Sci-Fi|Thriller
1371,1,2.5,Adventure|Sci-Fi
2150,1,3.0,Adventure|Comedy
1061,1,3.0,Thriller
1339,1,3.5,Fantasy|Horror|Romance|Thriller
2193,1,2.0,Action|Adventure|Fantasy
1293,1,2.0,Drama
2968,1,1.0,Adventure|Comedy|Fantasy|Sci-Fi
1287,1,2.0,Action|Adventure|Drama
1263,1,2.0,Drama|War
31,1,2.5,Drama
1129,1,2.0,Action|Adventure|Sci-Fi|Thriller
2294,1,2.0,Adventure|Animation|Children|Comedy|Fantasy
1029,1,3.0,Animation|Children|Drama|Musical
1953,1,4.0,Action|Crime|Thriller
153,2,4.0,Action|Adventure|Comedy|Crime
410,2,3.0,Children|Comedy|Fantasy
405,2,2.0,Action|Fantasy
382,2,3.0,Drama|Horror|Romance|Thriller
10,2,4.0,Action|Adventure|Thriller
616,2,3.0,Animation|Children
377,2,3.0,Action|Romance|Thriller
372,2,3.0,Comedy|Drama|Romance
371,2,3.0,Comedy|Drama
370,2,2.0,Action|Comedy
661,2,4.0,Adventure|Animation|Children|Fantasy|Musical
367,2,3.0,Action|Comedy|Crime|Fantasy
364,2,3.0,Adventure|Animation|Children|Drama|Musical|IMAX
720,2,4.0,Adventure|Animation|Comedy
357,2,3.0,Comedy|Romance
62,2,3.0,Drama
589,2,5.0,Action|Sci-Fi
356,2,3.0,Comedy|Drama|Romance|War
350,2,4.0,Drama|Mystery|Thriller
349,2,4.0,Action|Crime|Drama|Thriller
339,2,3.0,Comedy|Romance
50,2,4.0,Crime|Mystery|Thriller
454,2,4.0,Drama|Thriller
457,2,3.0,Thriller
468,2,4.0,Comedy|Romance
588,2,3.0,Adventure|Animation|Children|Comedy|Musical
587,2,3.0,Comedy|Drama|Fantasy|Romance|Thriller
586,2,3.0,Children|Comedy
585,2,5.0,Comedy
552,2,3.0,Action|Adventure|Comedy|Romance
551,2,5.0,Animation|Children|Fantasy|Musical
550,2,3.0,Comedy|Romance
590,2,5.0,Adventure|Drama|Western
539,2,3.0,Comedy|Drama|Romance
537,2,4.0,Drama
17,2,5.0,Drama|Romance
592,2,5.0,Action|Crime|Thriller
527,2,4.0,Drama|War
110,2,4.0,Action|Drama|War
593,2,3.0,Crime|Horror|Thriller
515,2,4.0,Drama|Romance
509,2,4.0,Drama|Romance
508,2,4.0,Drama
500,2,4.0,Comedy|Drama
497,2,3.0,Comedy|Romance
485,2,3.0,Action|Adventure|Comedy|Fantasy
480,2,4.0,Action|Adventure|Sci-Fi|Thriller
474,2,2.0,Action|Thriller
319,2,1.0,Comedy|Drama|Thriller
317,2,2.0,Comedy|Drama|Fantasy
47,2,4.0,Mystery|Thriller
314,2,4.0,Children|Drama|Fantasy|Mystery
144,2,3.0,Comedy
266,2,5.0,Drama|Romance|War|Western
208,2,3.0,Action|Adventure|Sci-Fi
52,2,3.0,Comedy|Drama|Romance
222,2,5.0,Drama|Romance
39,2,5.0,Comedy|Romance
296,2,4.0,Comedy|Crime|Drama|Thriller
223,2,1.0,Comedy
235,2,3.0,Comedy|Drama
248,2,3.0,Comedy
273,2,4.0,Drama|Horror|Sci-Fi
253,2,4.0,Drama|Horror
272,2,3.0,Comedy|Drama
261,2,4.0,Drama
225,2,3.0,Drama|Thriller
186,2,3.0,Comedy|Romance
292,2,3.0,Action|Drama|Sci-Fi|Thriller
265,2,5.0,Drama|Fantasy|Romance
168,2,3.0,Action|Drama|Romance
165,2,3.0,Action|Crime|Thriller
185,2,3.0,Action|Crime|Thriller
150,2,5.0,Adventure|Drama|IMAX
300,2,3.0,Drama
161,2,3.0,Drama|Thriller|War
247,3,3.5,Crime|Drama
8636,3,3.0,Action|Adventure|Sci-Fi|IMAX
